"Source:","C:\Users\gheys\OneDrive - KU Leuven\Documents\GitHub\uitlezen_gsm\PCB_GSM\PCB_uitlezen_gsm.kicad_sch"
"Date:","14/05/2023 12:43:59"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","47uF/6.3V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"2","2","C2, C4","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"3","1","C3","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"4","1","D1","BLUE","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"5","1","D2","PWR","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"6","1","J1","Conn_01x04_Pin","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"7","1","J2","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~","",""
"8","5","R1, R2, R3, R5, R6","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"9","2","R4, R7","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"10","3","SCHERM1, SCHERM2, SCHERM3","Conn_01x09_Pin","Connector:Conn_01x09_Pin","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~","",""
"11","1","SW1","EN","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm","~","",""
"12","1","SW2","FLASH","Switch:SW_Push","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_Copal_CHS-01B_W7.62mm_P1.27mm","~","",""
"13","1","U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","",""
"14","1","U2","MP1584","Lib:MP1584","Library:U1584","","",""
"15","1","U3","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","",""
